CPUUtilization_Average,NetworkIn_Average_original,NetworkIn_Average,NetworkOut_Average,NetworkOut_Average_original,MemoryUtilization_Average,Final_Target,Final_Class
4,40519,0,38200,0,38.82737176,21.860343242925406,1
2,10018180,0,9578574,0,32.7596551,17.853330837920836,1
76,213484076,1,193410904,1,75.43265449,72.09996772725356,3
83,424386408,3,403723858,3,52.71015465,63.4462567825761,3
72,85755030,0,82221431,0,47.2341675,55.69559054879337,2
4,41913,0,39084,0,36.17982928,20.487822944034367,1
2,0,0,0,0,53.96346588,28.85421051521253,1
74,266202483,2,215026190,2,53.11463184,59.68113021249021,2
52,335758144,3,320844348,2,42.13354859,44.50360080531582,1
76,214748365,2,194347270,1,67.21486518,67.84025774886818,3
2,0,0,0,0,53.19715016,28.44395458271925,1
31,37709620,0,39229026,0,64.25426487,46.74840114963681,2
39,392223491,3,388123320,3,52.41876039,44.235541698795025,1
3,46484,0,41129,0,39.74183972,21.901491083671296,1
48,176921199,1,134280637,1,42.21660815,42.736803187959,1
1,4733,0,3791,0,53.91075249,28.671031633842045,1
1,0,0,0,0,53.56220076,28.49033590078506,1
1,0,0,0,0,53.1201554,28.26117377654481,1
32,17739341,0,22858464,0,46.36308356,37.89805462119033,1
95,347753768,3,265702806,2,85.98342641,85.8422886275371,3
73,43023060,0,39411327,0,80.33147176,73.2672115495173,3
62,322550369,3,321265415,2,59.03253649,57.5905687038265,2
73,42486642,0,38951188,0,70.54639297,68.28951578392795,3
2,0,0,0,0,54.08591037,28.904699556184898,1
4,40939,0,38394,0,38.65764577,21.772355199130565,1
73,42435932,0,38766790,0,57.21841399,61.52725856787326,3
1,5058,0,2279,0,26.64464276,14.245861056072751,1
46,201012570,1,223178066,2,55.49821257,48.78164435018519,2
72,100537889,0,99356769,0,55.41505141,59.94389103872866,2
1,0,0,0,0,53.93451503,28.813226430323557,1
37,149114217,1,119225397,1,53.5385658,43.834299704256864,1
1,0,0,0,0,90.50609006,47.64253365190437,2
63,204487759,1,250544627,2,43.78188712,50.07438615220821,2
71,42469010,0,38897173,0,59.73195033,62.01211459095598,3
29,28063694,0,32913433,0,37.90645208,32.21986545131194,1
28,21474906,0,25810628,0,48.29067493,37.167156354151246,1
35,345057042,3,313704409,2,44.67440907,38.461624420186595,1
32,44803419,0,41654918,0,37.07778693,33.09486052415188,1
97,376528563,3,338218245,3,85.03749084,86.24052756658259,3
28,4155349,0,3247650,0,55.21696541,40.7488208540336,1
83,55725595,0,50843977,0,92.76861519,84.04952820999685,3
73,43033002,0,39299308,0,78.04165603,72.46975210956722,3
43,130642080,1,118566955,1,54.79908985,47.08092212454683,2
72,194543503,1,176814249,1,66.35360308,65.6535004359997,3
11,5418,0,2449,0,22.83960056,16.602541252420963,1
84,484176150,4,468067768,4,58.02515358,66.66265753603545,3
98,358450396,3,321488396,2,62.8079012,75.14144973790657,3
2,0,0,0,0,90.51231605,47.78862699762663,2
29,29140706,0,27158793,0,52.56400031,39.81749929899218,1
3,5108,0,2279,0,22.90117132,13.171049066245741,1
76,47993562,0,43778655,0,87.71570465,78.70789949011774,3
1,0,0,0,0,53.60713167,28.51362867503711,1
77,430273147,4,398839108,3,53.83625938,61.43275728644378,3
30,4183084,0,3244523,0,73.71085668,51.20215564089289,2
32,325925910,3,301931535,2,59.07622531,44.62190312607072,1
72,198642237,1,179314885,1,94.00239908,80.27856229389492,3
3,42364,0,39666,0,36.20675378,20.068854796220837,1
77,47150088,0,43165709,0,82.26101015,76.00100259992325,3
1,4769,0,3827,0,53.84257789,28.64434756944668,1
47,186250583,1,179825129,1,54.61966088,48.746067276541446,2
98,380104606,3,341449900,3,57.13737234,72.50127053201044,3
72,196918785,1,178025126,1,64.95348147,64.98475681557369,3
28,19327353,0,15032386,0,54.509174,40.53088034707315,1
26,41486497,0,38094133,0,55.91279915,40.26006258778378,1
72,41623905,0,38312681,0,78.46741005,72.1574245286017,3
27,34155442,0,25527498,0,44.97179785,35.016542994940124,1
74,42467476,0,38885928,0,64.76078705,65.7317476205628,3
49,356425222,3,327192387,3,48.17586477,46.343418120120546,2
71,193250786,1,175604867,1,67.33181004,65.86998779388341,3
65,381188236,3,364123838,3,55.26656022,56.960079601827005,2
42,209126045,1,205653521,1,52.12528328,45.29934095847929,2
97,371514671,3,333933707,3,77.96870817,82.86392845260984,3
3,41439,0,39029,0,38.70544947,21.364211126099587,1
4,5244,0,2333,0,22.90487979,13.605898025224946,1
57,143859534,1,207885788,1,56.14663594,53.86339797384161,2
1,21667,0,17357,0,53.43705834,28.555347204669545,1
38,90193402,0,91769162,0,61.52330722,48.38691902947446,2
75,98592493,0,89302268,0,59.46012811,63.33700544266524,3
28,4154762,0,3230842,0,55.01420564,40.78656936035486,1
46,168646284,1,158989513,1,43.17415532,42.37094346451725,1
51,57310387,0,51364307,0,57.08543755,51.697736668322,2
98,270582940,2,227633267,2,57.05062353,72.39272181875158,3
28,4233473,0,3302316,0,54.84610388,40.84665223397363,1
57,166585506,1,214339436,1,52.47601306,51.967177717281366,2
72,193862410,1,176649694,1,65.48746397,65.2042887937197,3
3,41133,0,38831,0,38.72709068,21.375430099137457,1
5,4946,0,2225,0,22.9852469,14.080487694503251,1
74,198642237,1,178241143,1,54.26594528,60.35811796425592,3
97,82912821,0,75025099,0,78.11574532,82.52590951704403,3
50,119245460,1,145757949,1,62.72429256,54.22335617419148,2
94,341449900,3,307090162,2,58.63181772,71.52774283536723,3
30,27083231,0,22049633,0,57.15262602,42.77048393453039,1
69,303070034,2,302271196,2,51.89413894,56.91169430574971,2
81,443418987,4,428859544,3,61.70461583,67.25323396792483,3
1,42478,0,34343,0,55.82109407,29.661393320959696,1
72,193880500,1,175616284,1,70.55842989,68.12297912204507,3
75,208305914,1,188978561,1,70.34653866,69.17101700807798,3
82,255751420,2,230872030,2,64.36958728,68.98037235841237,3
2,5000,0,2225,0,26.63422856,14.673388568530534,1
77,47012595,0,43014607,0,64.55024479,66.81944373459777,3
72,198365251,1,179147209,1,62.159568,63.62352398316997,3
24,22779444,0,19654537,0,54.68072363,38.74706738441269,1
76,391509332,3,372521698,3,54.53319766,61.34633466919707,3
73,197568496,1,179314885,1,86.24107867,76.39760977774073,3
28,4213546,0,3297422,0,57.08164972,42.00558289211707,1
76,395163264,3,378924824,3,63.33837448,65.91332159572833,3
87,39210033,0,35532785,0,79.16648508,78.72249410225434,3
30,18287108,0,22681856,0,51.90668678,39.906165679808375,1
72,194347270,1,176093659,1,55.132707,59.83623484968341,2
1,5000,0,2225,0,22.85362163,12.280545853089581,1
1,21402,0,16686,0,53.45594385,28.43525957203767,1
29,4161556,0,3241775,0,73.20323087,50.79612446071175,2
78,416204418,3,398344225,3,67.47113363,68.93082579842577,3
27,23596526,0,24654488,0,73.75780239,49.936955802056055,2
46,164792828,1,133220811,1,60.27939508,51.23190261263532,2
73,42277756,0,38697643,0,88.33695478,77.55989414392121,3
31,77688548,0,75682617,0,54.99807718,41.96720538265176,1
24,10455252,0,15023176,0,50.63290368,36.6447506450696,1
28,19327353,0,15032386,0,54.87567734,40.9460022212495,1
66,307165959,2,286130042,2,65.03187506,62.42104413479989,3
75,214748365,2,194347270,1,60.59466516,64.26539334131493,3
2,4787,0,3791,0,53.45615138,28.578226166925873,1
72,99160549,0,94586256,0,45.72700482,54.92010126960927,2
84,394702058,3,369513659,3,60.23616347,67.76630564101357,3
83,422263822,3,413477081,3,49.94643039,62.01518596153816,3
67,358406660,3,330005586,3,57.37789864,58.907631551466636,2
3,37887,0,37549,0,36.69896422,20.32402165336215,1
61,319397458,2,260331593,2,48.3956297,51.62904630455077,2
4,41262,0,38433,0,35.9573719,20.37249781955458,1
4,0,0,0,0,54.49008096,30.270140379210606,1
3,41813,0,39260,0,38.67430848,21.348067365288085,1
63,175565888,1,171217324,1,56.96437888,56.88404214510892,2
42,133084882,1,125127698,1,55.35551269,46.93847582845332,2
81,448990732,4,427812270,3,50.11148269,61.24425384694428,3
4,38252,0,37833,0,36.1275043,20.460695863771143,1
3,41187,0,38831,0,38.57494182,21.296554142943304,1
2,42879,0,40237,0,32.9138868,17.928863126870294,1
76,46700951,0,42710838,0,63.1748196,65.93742446437071,3
51,95026753,0,100984149,0,37.28551203,41.452935819525806,1
9,5144,0,2663,0,22.91173792,15.774085400307143,1
72,377265918,3,348974709,3,53.58941755,59.11683633544062,2
55,228341000,2,198179314,1,53.29131756,51.53464184698866,2
74,193273528,1,176093659,1,79.87043713,73.81626502123231,3
1,0,0,0,0,54.02697099,28.861156815097356,1
72,190052303,1,173946175,1,78.46741005,72.22184361965242,3
75,375572910,3,362404290,3,48.06836995,57.55602905426955,2
3,42147,0,39373,0,38.61822423,21.31899265519323,1
79,416447577,3,389946772,3,57.86198092,64.38042900699483,3
36,53567973,0,49298818,0,47.61055176,40.290612476949576,1
73,198179689,1,178606682,1,74.40889404,70.26363321006075,3
1,42306,0,34163,0,53.95236287,28.822496346004336,1
76,214586446,1,194186458,1,91.32200618,80.48050905084357,3
3,40892,0,38637,0,38.56356241,21.290654796024768,1
76,215175844,2,194277291,1,71.05381124,69.97336660562527,3
76,219054932,2,198259849,1,90.18493269,79.78041150207027,3
40,439490837,4,413271092,3,60.27324817,48.75683760436791,2
51,130725795,1,163342155,1,48.65435895,47.36880476253396,2
43,80338980,0,127442860,1,45.56378136,42.28358608858443,1
80,407911017,3,388871996,3,42.57155441,56.8843887649359,2
79,47085577,0,42970250,0,58.86456602,64.87630934375629,3
2,0,0,0,0,53.57309625,28.638849976676596,1
46,120847497,1,119715402,1,49.43130873,45.59496882965011,2
84,331423512,3,294647891,2,89.34795196,83.1170452610567,3
60,363575973,3,340799253,3,54.5350773,54.40698477875276,2
30,24296590,0,31926355,0,65.50559395,46.95946100772969,2
96,365224063,3,328316683,3,53.05831056,69.22436290512108,3
77,399837400,3,382374991,3,62.10045685,65.70634117139973,3
1,154706,0,31818,0,53.81082534,28.619268921553243,1
97,362249205,3,274836180,2,84.62657544,86.03175456017254,3
91,73518717,0,56553789,0,84.0973662,83.02302528255917,3
4,41876,0,39101,0,36.10774273,20.45045232435699,1
30,51563495,0,49250549,0,59.24793253,43.72555204598225,1
1,0,0,0,0,53.72428406,28.5743620136977,1
1,4769,0,3867,0,53.88055644,28.655377629881794,1
77,46571422,0,42328082,0,55.47140091,62.40265791477577,3
47,154994533,1,128152040,1,66.72278479,55.001778674392845,2
71,196896944,1,178802216,1,72.41024715,68.56920783284735,3
31,117373882,1,109235807,1,59.9285129,44.539828635307266,1
71,196494754,1,179314885,1,72.41024715,68.56922910029611,3
75,215822107,2,194347270,1,76.41210665,72.46561061446366,3
1,4837,0,3791,0,53.88979166,28.66882381600453,1
57,180245852,1,185705004,1,66.85207321,59.41669733559045,2
0,5202,0,2411,0,26.67446292,13.828393885517517,1
94,346785274,3,264435419,2,91.45669512,88.38913697000844,3
80,416079305,3,404746308,3,54.23047478,62.93394247190566,3
72,42987427,0,39332095,0,84.55746693,75.16793645269334,3
43,72200645,0,81020105,0,57.45882456,48.4379272678532,2
28,21850837,0,23990893,0,60.59009371,43.54301857917732,1
76,214428557,1,194504589,1,80.87717988,74.9229424642985,3
74,194347270,1,176093659,1,83.39704597,75.60578973973657,3
2,0,0,0,0,54.08207101,28.902709181501805,1
78,400609089,3,387940340,3,52.85590259,61.348185335098805,3
63,283404713,2,245073125,2,51.23707941,53.956245448295796,2
4,5000,0,2225,0,22.91194112,13.609558631180438,1
10,5412,0,2583,0,26.64576038,18.142778158292124,1
75,384675342,3,374493188,3,57.24347932,62.31731584710975,3
12,5000,0,2225,0,26.66135627,19.016715889943697,1
31,48557538,0,49431718,0,52.20681881,40.507619353317054,1
51,119554209,1,139436507,1,67.36465483,57.06057221887719,2
29,42338475,0,45088896,0,67.44690157,47.54002478546507,2
43,172297441,1,168385864,1,58.88841418,49.221575416569536,2
2,0,0,0,0,52.99127739,28.350215224932082,1
2,0,0,0,0,53.40167396,28.549982408609534,1
5,5388,0,2477,0,22.88557542,14.028816847368601,1
83,431899683,4,404267486,3,63.80797849,69.20136884532555,3
79,432341174,4,417409802,3,63.09183746,67.10143204703168,3
77,47148895,0,43019774,0,81.80173954,75.76287793741106,3
79,415557230,3,398837460,3,51.94189184,61.313149576618265,3
24,26642986,0,27610722,0,50.55538142,36.61109718301339,1
4,46367,0,41219,0,36.17398717,20.4847958199977,1
74,199524993,1,179089544,1,86.05108218,76.98353805591495,3
4,55977,0,62078,0,41.90418229,23.455411137500057,1
78,426969691,3,398379434,3,59.13611963,64.61233648387918,3
28,36716044,0,30041006,0,47.04442594,36.52554193603058,1
51,216021695,2,161400894,1,53.85627496,50.084793100545205,2
72,194299202,1,175948491,1,59.88355321,62.44195828783353,3
3,41428,0,38963,0,38.70219821,21.362525612964415,1
2,5054,0,2333,0,23.0014016,12.790083364235429,1
48,164398955,1,125123200,1,57.11825497,50.457086430750266,2
72,197224272,1,179119948,1,80.65294043,73.3576569762341,3
1,0,0,0,0,53.94655194,28.68958860386297,1
73,196713491,1,178399549,1,54.77004302,60.225076098491726,3
52,22588690,0,19449423,0,54.41564426,50.731496201464175,2
98,374035625,3,336558018,3,66.66023314,77.42257043382367,3
28,27720588,0,24448931,0,45.09610778,35.51218875344048,1
27,24753733,0,25518301,0,56.82117099,41.15724264996912,1
45,112410883,1,108709570,1,56.23279435,48.683627024308244,2
25,37876297,0,43128386,0,57.49697607,40.64868141994947,1
79,392378612,3,386414866,3,65.95472517,68.56947527605276,3
60,246645863,2,226607620,2,64.64985189,59.598235033438726,2
1,193260,0,154596,0,53.95018377,28.69155037315001,1
3,41385,0,38993,0,38.77306554,21.399264164969694,1
28,26620525,0,27954501,0,47.14699307,36.57592075200975,1
2,306141,0,181943,0,55.83396112,29.811023146565933,1
77,215822107,2,194347270,1,88.35957589,79.23512779572584,3
60,184646021,1,236913965,2,60.25445181,57.30759081236787,2
30,34893105,0,33395108,0,50.23594503,39.04624580683962,1
77,406384989,3,399705114,3,48.6144802,58.720399766496,2
4,5090,0,2315,0,22.9856025,13.647745699459701,1
64,325149242,3,297905646,2,52.90304587,55.274215595938486,2
73,102765734,0,100026071,0,65.52545712,65.61884752087934,3
43,184876602,1,179477934,1,67.2724511,53.57334019947149,2
72,198063752,1,178127045,1,79.82633636,72.78191236702314,3
2,42252,0,34123,0,54.05011093,28.88615799549267,1
60,406028753,3,399434365,3,43.78402076,48.856334953763685,2
78,47341272,0,43224614,0,58.88542309,64.60583534680192,3
3,41516,0,39079,0,38.54542647,21.28125312867306,1
1,0,0,0,0,53.84257789,28.635687089855757,1
44,173773105,1,161557413,1,51.50022835,45.82319046134843,2
48,294261620,2,250656928,2,61.88617843,52.98672945395993,2
35,257457534,2,231820638,2,44.90712824,38.543841852820066,1
95,79349651,0,72066818,0,97.91595327,92.21332523252964,3
60,233623461,2,225507080,2,62.56960366,58.51655777217232,2
53,70566773,0,73962815,0,46.34062954,47.001425779120005,2
38,99381722,0,94231397,0,60.62555278,47.92417895247008,2
5,5198,0,2477,0,22.89040152,14.031318717201152,1
26,18603058,0,21898214,0,63.21883984,44.03872746409742,1
29,19327353,0,15032386,0,72.45050856,50.264830374393654,2
8,5000,0,2225,0,22.87998732,15.324698945313516,1
4,41984,0,39138,0,36.20589017,20.501333280311787,1
30,35950618,0,31505918,0,62.84977091,45.585242600162736,2
61,166455845,1,218574634,2,60.15117348,57.67869965073793,2
6,5090,0,2369,0,22.90442258,14.471513766036079,1
57,179042961,1,223735657,2,59.94720765,55.84530767456027,2
3,41863,0,39445,0,38.76194013,21.39349681704757,1
71,197568496,1,178241143,1,58.60286686,61.49356654941786,3
2,4829,0,3831,0,53.82566395,28.769786358151023,1
6,5334,0,2423,0,26.68086384,16.429270615706166,1
2,5000,0,2225,0,22.91595439,12.745786371088938,1
35,77872053,0,75125817,0,59.144959,45.8486274645676,2
31,40485697,0,39356378,0,63.87803301,46.55402640957233,2
76,217230142,2,189379665,1,80.18962293,74.70887579566033,3
5,5334,0,2423,0,26.66679198,15.98904918253952,1
42,132423523,1,126112934,1,55.17024161,46.84249547514161,2
30,81780831,0,120878352,1,40.41596837,33.98572123389057,1
78,216895848,2,196494754,1,63.77137331,67.05613949101685,3
77,393887865,3,383555875,3,51.79268944,60.36154917813067,3
73,356107797,3,335508131,3,61.51421385,63.650203908880755,3
4,41732,0,39133,0,38.83306146,21.863293345603886,1
1,21813,0,17338,0,53.42844572,28.421004419925445,1
98,357556027,3,319975064,2,85.1832828,87.01767150315152,3
58,158937260,1,216559244,2,53.24696833,52.79850678689291,2
31,23100712,0,21093701,0,64.37217388,46.80212163595001,2
3,42248,0,39402,0,36.28458084,20.109201281477127,1
46,91254736,0,109273644,1,52.05035187,46.94356483413433,2
79,432151320,4,415925630,3,61.25777064,66.15025370919369,3
76,215822107,2,195421012,1,67.91715696,68.34768735292033,3
82,255550554,2,230854492,2,75.8903686,75.24290724927401,3
81,479921372,4,450642825,4,62.6249767,67.74362885467728,3
73,43221468,0,39284255,0,54.82036978,60.04193850557793,3
28,19146685,0,14975446,0,71.5888314,49.302888849087324,2
73,196494754,1,178241143,1,54.77004302,60.224990392181944,3
27,23285184,0,25874776,0,60.10865308,42.8612570700134,1
76,47571580,0,43494441,0,54.67084223,61.55520161087289,3
32,159024264,1,140708465,1,66.34340327,48.31492957116277,2
78,88695161,0,88230256,0,61.44446414,65.6619685998371,3
72,42964116,0,39544713,0,58.40778581,61.66792044165492,3
29,37802812,0,32451838,0,51.24993205,39.13944505115455,1
3,41876,0,39391,0,36.2717282,20.10253821571302,1
80,460164609,4,436642334,4,65.30223773,68.6909569100675,3
83,452652967,4,414853046,3,44.25779045,59.073437444718245,2
70,353948840,3,314376482,2,51.79101301,57.30559023799582,2
77,46908643,0,42895281,0,81.67784232,75.69856486503619,3
2,0,0,0,0,53.57714314,28.64094793763917,1
81,256401886,2,231365362,2,66.00557019,69.53868653810434,3
54,245315740,2,182798959,1,54.68742935,51.8259726279705,2
48,112365338,1,106671077,0,52.31720928,47.95205142747216,2
81,458961733,4,437068537,4,70.54748695,71.84290674258224,3
76,223338299,2,194347270,1,81.09996659,75.3521655925338,3
61,33337047,0,31148529,0,46.75872138,50.66346683514548,2
46,152463869,1,125785205,1,65.62289335,53.99754368737606,2
96,375809638,3,336081191,3,98.04223712,92.8604982566969,3
1,4667,0,3739,0,53.58938759,28.491444027442654,1
84,464383794,4,446249498,4,38.5047349,56.53359561028973,2
81,423952659,3,397753789,3,52.5899088,62.51663869374479,3
46,55292570,0,51777411,0,60.44922267,51.27656147904129,2
77,214829704,2,194046486,1,89.54282548,79.8482440598285,3
77,47372561,0,43136933,0,73.60698639,71.64023652610365,3
34,111907101,1,106638155,0,52.19178173,41.825945548977536,1
77,376089585,3,359369129,3,70.39457608,69.99552447915514,3
1,0,0,0,0,53.57880341,28.498942932746704,1
3,41266,0,38814,0,38.68167462,21.351885843651587,1
1,0,0,0,0,53.04596234,28.222711119152624,1
77,211527139,1,192199786,1,76.91423282,73.44310858269696,3
79,224227527,2,193999124,1,69.07892689,70.10750050687446,3
71,51191730,0,48675305,0,47.17310476,55.215571123859476,2
3,41984,0,39155,0,36.24678493,20.0896072691384,1
72,193797551,1,176137714,1,83.40773393,74.63712910331343,3
81,54377560,0,49637969,0,72.01033099,72.71178944384599,3
41,327957628,3,325077726,3,57.57155187,47.7438164151742,2
3,5222,0,2423,0,23.0336602,13.23973310122084,1
1,0,0,0,0,53.1424652,28.272739470073123,1
28,19327353,0,15032386,0,56.80179143,41.57653764301111,1
96,369367187,3,330712482,3,57.59996347,71.8703650151751,3
75,194347270,1,177167401,1,76.93820289,72.43950856946957,3
78,434855569,4,405366945,3,72.81554631,71.707304960968,3
30,37045171,0,34972778,0,50.2560622,39.05752230865751,1
77,391520229,3,384870902,3,45.30190244,56.99638621702033,2
73,42991944,0,39375456,0,82.46916578,74.37540506509356,3
71,194347270,1,176093659,1,53.27072062,58.72809092830683,2
77,47712839,0,43620820,0,56.82441253,63.10462786000091,3
3,41855,0,39536,0,38.67380048,21.347804082504865,1
67,345898004,3,290732478,2,64.6612313,62.67178372699412,3
72,42393814,0,38910849,0,87.06768275,76.32616894433176,3
84,448852464,4,426619569,3,54.40685569,64.76951360317754,3
98,382169309,3,342681283,3,72.74053597,80.44371094939684,3
3,41876,0,39084,0,39.73477838,21.89782887413689,1
79,415864674,3,408325535,3,51.77912558,61.230951208603294,3
2,42323,0,34163,0,54.04284727,28.895380235844943,1
79,215822107,2,195421012,1,60.29519499,65.83800699411879,3
78,416607165,3,406716362,3,57.34442081,63.68296029953523,3
34,111990,0,123934,0,35.18631504,32.960599029287025,1
51,122169582,1,158549359,1,41.96138416,43.89603838405131,1
4,41859,0,39084,0,36.01482778,20.402283985430717,1
33,38048751,0,32489351,0,61.06066294,45.95722755312115,2
1,4769,0,3827,0,53.42844572,28.420997481833705,1
76,219043332,2,197568496,1,68.82386879,68.70639875107288,3
4,41600,0,38926,0,35.99643784,20.392750303938424,1
44,123104425,1,119780110,1,53.86323469,47.02721979353446,2
77,47248323,0,43154648,0,60.97808244,64.96767336545582,3
72,194347270,1,176093659,1,55.32975961,60.08125522316768,3
2,41884,0,33797,0,54.10074899,28.912409273882993,1
71,193273528,1,176093659,1,60.18665521,62.31315459023077,3
1,42177,0,33927,0,55.84599804,29.6743037043164,1
73,43915657,0,39995845,0,76.5805197,71.37062658011193,3
29,4217379,0,3302056,0,73.56330069,51.05641316495919,2
68,276754545,2,274719169,2,52.97061114,57.024624338116965,2
33,48234993,0,45592230,0,38.19053101,34.10631573099742,1
12,7113217,0,7722250,0,62.77707475,37.74293645978669,1
3,41241,0,38939,0,38.63722379,21.328841971222793,1
64,298159187,2,293558621,2,58.47992372,58.158148389806314,2
34,93308817,0,86350600,0,54.9189801,43.230956724599366,1
73,198642237,1,178241143,1,73.75101432,70.31223886401861,3
76,47799159,0,43595378,0,68.82386879,68.63263571001718,3
4,41937,0,39499,0,41.82955569,23.416715464821042,1
72,193943918,1,175877887,1,72.03980069,68.83473361388685,3
73,196365196,1,178592791,1,68.50696585,67.53692768307879,3
2,42550,0,34295,0,90.50588252,47.7853092176396,2
67,252957575,2,249979168,2,51.96556508,56.059674603480744,2
76,217130398,2,196258481,1,84.14675906,76.90900950737375,3
98,83151522,0,75398589,0,57.13737234,72.37357049885323,3
77,218052242,2,197429679,1,79.38439476,74.87353690248038,3
48,218647567,2,184845754,1,52.64182737,48.16225005641931,2
27,9236843,0,14027345,0,44.32621934,34.67355913767443,1
56,332735574,3,317630885,2,63.64759988,57.38706107306494,2
72,193994291,1,175918988,1,67.34509216,66.45723620836836,3
26,18611389,0,22032124,0,63.12521368,43.99022214608289,1
72,192317461,1,174335677,1,75.7725936,70.91633914722588,3
3,41203,0,38712,0,38.66049063,21.340903747596034,1
46,149628068,1,133751719,1,66.71358981,54.56409317889373,2
71,194347270,1,176093659,1,86.97896238,76.05569149529462,3
75,46817536,0,42787430,0,55.78674736,61.700443841773215,3
55,154766535,1,140463784,1,93.09413076,72.42918933362625,3
59,264461372,2,261542248,2,63.20801924,58.42972597406664,2
30,23548597,0,19277901,0,42.09026618,34.81766080584523,1
9,4294967,0,3221225,0,55.8281502,32.84009188997732,1
33,44731659,0,41435055,0,37.59214658,33.7943722527299,1
71,82759509,0,78946580,0,44.23269478,53.705241575631284,2
81,454167134,4,438900563,4,63.73792398,68.31204122497684,3
3,41966,0,39191,0,35.96021676,19.941046567421836,1
3,41818,0,39445,0,38.55731389,21.287415874533025,1
77,215800888,2,194337928,1,84.24326192,77.1011695608925,3
73,43231599,0,39363608,0,73.45040272,69.70001241982868,3
59,226388033,2,218887634,2,65.87390086,59.79348051924133,2
76,412976359,3,381232454,3,58.85955924,63.596067959419656,3
38,348489991,3,337633365,3,47.27104899,41.11265150510748,1
41,232844818,2,229546815,2,68.1199126,53.1690284519944,2
44,88120015,0,84719497,0,38.4142076,39.00236971666,1
1,21402,0,16994,0,53.83209747,28.63026262079714,1
59,182097389,1,219841381,2,51.94885157,52.564545858620114,2
1,0,0,0,0,53.52131676,28.456153305983776,1
4,41628,0,38664,0,36.06344429,20.427487276427144,1
59,235501686,2,240726459,2,54.55240042,53.931227122871654,2
80,431438183,4,422131884,3,55.3080646,63.49999051515602,3
64,274667377,2,260355023,2,61.383249,59.6504635751682,2
28,4235387,0,3244912,0,71.51702497,49.28558909037302,2
27,24170027,0,27348408,0,58.04623598,41.792604929716404,1
72,42418089,0,38891351,0,82.70668734,74.06537287169931,3
4,5450,0,2621,0,22.69933913,13.499343157345825,1
1,195876,0,157414,0,53.98556815,28.709895331258426,1
75,388110702,3,378625063,3,56.7469508,62.06162075120656,3
72,201339317,1,181450892,1,66.44004059,65.90005632221998,3
3,2380803,0,492726,0,55.83697035,30.3889230641801,1
73,43114146,0,39517348,0,86.24107867,76.3308740407076,3
66,302553561,2,295254662,2,46.57360271,52.8529990439999,2
46,186334227,1,175647426,1,50.80339167,46.3338266248326,2
1,0,0,0,0,53.29406808,28.481210314318652,1
81,459176046,4,446802171,4,59.77031873,66.25809604266333,3
73,199498871,1,178888478,1,63.44762178,64.72439836279729,3
37,316403806,2,311364632,2,67.43978944,51.122218466333244,2
2,190698,0,152557,0,54.07864672,28.901011920738057,1
42,121771070,1,119662214,1,52.53291013,45.4713754186839,2
29,29694690,0,28819792,0,49.31548256,38.133922345596105,1
96,356482286,3,321048805,2,93.28039166,90.21525033750576,3
55,185374853,1,195800251,1,50.02791512,49.83240913872281,2
58,205898716,1,228703034,2,66.10209874,59.47631151007496,2
74,43558773,0,39554541,0,67.48694098,67.04151983480891,3
30,34308204,0,36668343,0,65.67694556,47.05165669038891,2
