CPUUtilization_Average,NetworkIn_Average,NetworkOut_Average,MemoryUtilization_Average
26,18611389,22032124,63.12521368
72.88,192317461,174335677,75.7725936
3,41203,38712,38.66049063
46,149628068,133751719,66.71358981
71.33,194347270,176093659,86.97896238
75.67,46817536,42787430,55.78674736
55.67,154766535,140463784,93.09413076
59,264461372,261542248,63.20801924
30,23548597,19277901,42.09026618
9,4294967,3221225,55.8281502
33,44731659,41435055,37.59214658
71,82759509,78946580,44.23269478
81,454167134,438900563,63.73792398
3,41966,39191,35.96021676
3,41818,39445,38.55731389
77,215800888,194337928,84.24326192
73,43231599,39363608,73.45040272
59,226388033,218887634,65.87390086
76,412976359,381232454,58.85955924
38,348489991,337633365,47.27104899
41,232844818,229546815,68.1199126
44,88120015,84719497,38.4142076
1.67,21402,16994,53.83209747
59,182097389,219841381,51.94885157
1.64,0,0,53.52131676
4,41628,38664,36.06344429
59,235501686,240726459,54.55240042
80,431438183,422131884,55.3080646
64,274667377,260355023,61.383249
28.2,4235387,3244912,71.51702497
27,24170027,27348408,58.04623598
72,42418089,38891351,82.70668734
4,5450,2621,22.69933913
1.67,195876,157414,53.98556815
75,388110702,378625063,56.7469508
72.46,201339317,181450892,66.44004059
3.33,2380803,492726,55.83697035
73,43114146,39517348,86.24107867
66,302553561,295254662,46.57360271
46,186334227,175647426,50.80339167
1.97,0,0,53.29406808
81,459176046,446802171,59.77031873
73.33,199498871,178888478,63.44762178
37,316403806,311364632,67.43978944
2,190698,152557,54.07864672
42,121771070,119662214,52.53291013
29,29694690,28819792,49.31548256
96.33,356482286,321048805,93.28039166
55,185374853,195800251,50.02791512
58,205898716,228703034,66.10209874
74,43558773,39554541,67.48694098
30,34308204,36668343,65.67694556
41,88733137,87189074,69.16016372
72.67,43529725,39494281,54.0886083
3,41499,39025,41.82716804
9,5000,2225,22.93078827
76,427740035,396337608,69.75941177
71.67,194347270,176093659,76.45579235
43,361076419,347234090,47.96275477
53,195823665,227955616,49.77441837
59,244343768,173845418,51.0604445
51,218367414,177523846,66.44866284
47,366778720,361994636,52.03551799
1.67,0,0,53.71629404
2,0,0,53.83230501
25,29357106,29993363,53.64047251
1.97,21649,17302,53.79276996
79,374299337,366469870,55.68485527
56,186939825,192258034,52.46702129
73.33,196494754,178241143,56.07604841
53,172765232,179376154,63.21741741
2,42264,34119,54.10095652
97.33,373197402,334984090,68.57389525
3,46166,40937,39.73853765
3,41435,39180,38.52327725
81.33,253749348,228746311,87.01870495
72.79,196379092,178217661,74.88725768
96.61,344472194,263504670,77.67743556
26,12124515,22586610,53.13175176
72,42475116,38733182,57.85917223
42,26094858,23770491,49.80083486
4,37531,37129,36.19044668
74,44160318,40072726,84.80526138
68,60457137,53931030,40.39879764
56,105332322,108353549,44.6762379
30,93211033,94453574,50.17300265
77,216895848,196494754,82.14292385
83,462978218,442897261,50.62746797
28,30070822,25211237,55.39610265
53,161484917,188457501,48.33466855
38,102465795,109745805,52.24288749
82,457120641,432593274,63.01492481
73.22,42047013,38714971,70.86931437
62,255691999,271517761,72.31175326
71.67,194347270,177167401,78.23393539
4,41801,39499,38.573875
4,37738,37200,36.09133402
76,47259874,43289128,77.46450666
4,46705,42337,36.17073591
1.69,0,0,53.42439883
45,142599182,112200608,64.64126653
76,46673591,42690322,75.43265449
3,39463,40582,39.80991299
59,339022794,344183566,59.88319845
28.2,19353749,15105509,55.37832234
2,196370,157414,54.10801264
76,372713886,367758432,54.75560423
2,0,0,53.12098553
2,0,0,53.98515309
34,374936216,359321461,51.62606231
53,103791047,171522084,53.43909753
69,300546051,304863110,50.13170147
3,41834,39343,38.56396881
79,424021415,409723130,64.60281021
2,5244,2279,22.9533947
73,169188168,226699156,49.88526605
97,78010633,59834027,79.82685519
72,42468441,39017494,57.5354207
77,48069761,43706007,88.83327004
25,19105619,17678824,64.86529873
1,5066,2279,23.00577048
72.33,193859094,175398110,77.15403724
65,239755003,243930141,64.29648046
76.07,219043332,198642237,90.18493269
72.33,194628561,176510149,57.60805726
75,393878830,387212176,58.56095124
2,5165,4155,53.88512216
94.33,350039835,313532613,51.91179431
77,390936332,386413046,58.04989365
39,327209800,323958860,46.2798716
2,37548,37129,39.82703291
72,42227778,38607605,83.91058647
76,395914170,391335516,74.17467501
55,383804155,366775466,48.53700875
66,276549629,261382090,60.06465945
77.63,212600881,192199786,74.14169525
77,400098561,381787293,52.72214368
78,461846267,443889236,43.81419653
79.67,46844717,41502274,90.92956121
72.88,42520150,38822027,72.24857892
79,98872270,88370771,57.19902848
4,41912,39174,35.90789178
73.67,42525132,38877681,73.15352671
72.67,199376704,179638289,53.16456747
3,41435,39143,38.64565675
39,118803330,118303068,60.29219692
3,41715,39341,38.76635981
44,200315903,188528103,56.50082018
66,370021353,314040280,56.38733085
59,165960995,221016745,39.07710924
71.67,42498979,38899558,68.11203048
1.67,0,0,53.47244273
74,75975960,118874775,40.82517004
52,379925271,373004204,64.79356779
77.33,217610455,197170532,54.05664822
24,19133488,19224134,53.55197725
76.07,218012920,197304826,84.63466922
74.33,43160162,39391176,68.8411978
31,35347307,37720373,65.2737384
80,429685735,398408689,57.29941117
56,51336393,39316612,42.59903773
71.67,194347270,176093659,57.48997097
56,59893808,77070806,49.63405533
2.03,21987,16994,53.87733968
3,42065,39655,38.65998262
39,59854456,70466129,43.55516247
34,52270491,49451384,55.85376844
82.37,54706542,49756394,56.03474933
3,41385,39029,42.01193111
73.33,42413726,38873545,55.15107367
81,459142950,424281932,64.81287215
28.67,19046254,14700821,55.30464812
74,200827443,181385199,57.25151551
34,352884732,330843296,42.13827308
59,368833998,336608058,44.05372302
22,17425702,15640704,65.19296488
61,300460761,223605694,51.50678167
3,41241,38868,38.53155781
1.97,196315,157179,53.95858886
30,27226047,28254146,55.53819292
30,28082520,31056216,63.80752128
95.67,77595309,70114376,56.44327811
3,37904,37549,36.1542256
72.67,198361921,178906799,94.00239908
31,336151899,325991105,39.09819164
4,41699,39515,38.62884163
29,30346891,32199088,55.63232708
2,18392,19790,26.58957453
96,365072220,328564998,53.05831056
80,450256359,436439224,69.96114235
28.47,19327353,15032386,55.43134703
59,162141113,216116161,52.14575606
73.33,196494754,179314885,54.59218721
73,196644296,178392717,82.46916578
76.27,215822107,194347270,89.2973139
10,5388,2423,22.85692369
1.67,22005,17465,53.86748186
41,83080774,81473119,47.56086843
43,110660475,99824063,59.66978364
4,46262,46246,36.22473732
3,41930,39155,39.79721275
71,78604360,76082230,50.69228999
82,460535250,437949635,51.05577081
3,40849,38452,38.67745814
78.69,210958616,190832872,61.11370527
55,209941129,184595121,62.74537495
42,171338737,158292290,49.03379127
23,60944937,75912179,46.24365052
3,41319,38922,38.6753753
3,41125,38610,38.68091261
2,42210,34095,54.00019923
71.67,193273528,175019917,74.72372165
47,43265775,57777508,50.80542371
59,99002916,90700731,62.34333621
61,54774079,51845265,65.98058286
2,5316,2541,22.96670455
72.33,194471371,176875982,67.71968928
38,70196011,60146189,51.2206707
4,41822,39084,36.21620276
97,369306463,332507234,74.16493895
29,19327353,15032386,71.86163358
1.67,22088,17302,53.55462581
79,426712124,396280095,53.3628453
3,7703,6184,22.76568518
72,193908461,176287789,87.06768275
67,404382773,393994459,62.99186118
54,196293642,159507923,65.54166262
72,194347270,176093659,54.29302834
4,5000,2225,26.4657218
78,271330291,225188772,53.20475273
65,282277169,259456689,52.22617397
73.56,194347270,176093659,73.39768933
77.29,215822107,194347270,68.34322228
43,70447247,114890512,51.73812921
73.67,43194652,39616043,82.07288145
8,7343,5890,22.82481748
1.64,21649,17175,53.86727432
3,42540,39440,36.14056014
72.33,193778166,175692732,78.59514663
69,348478440,312635219,64.31537841
65,237247117,220158704,59.35710378
98.64,76479829,58534607,65.8608159
73,194347270,176093659,86.95820907
8,5198,2369,22.89654843
71.67,42388851,38676509,67.90460121
72,194571555,176567487,58.98161465
54,41994324,38181751,48.6941361
72.33,42558648,38890157,82.83203729
60,259171688,210226327,58.06493073
2,0,0,53.22931778
3,5090,2315,26.56092279
76,214748365,194347270,65.44907036
80,458087022,428683780,70.46615463
1.67,42033,33851,55.83956451
76.67,47265306,43164768,65.34540761
68,45482754,47972514,42.20924201
3,46790,41549,36.30317399
96.61,347432840,263899748,94.46550905
78,403420299,389004823,68.61303746
3,38076,37861,39.7409253
53,205378641,177049157,48.26080397
62,241965672,201869259,62.61959179
76,393527689,390922498,72.58887246
81,404928430,402859914,62.71123671
57,204097367,229652393,46.30263042
68,293033100,291476519,72.05612286
27,17298683,25644861,64.48469799
3,41541,39185,38.78210811
83,444667606,407919247,53.98205812
25,47662257,36557784,50.76508776
51,112879061,178795704,54.46471798
27,102683636,97478214,64.13960712
73.22,194298855,176781996,58.16393449
2,5090,2315,22.73606822
44,142723279,112103930,65.9932323
4,42388,39660,35.90743457
4,38340,37749,35.91642634
69,77524571,65799733,65.07383665
77,416015856,383218246,62.17051137
76,387781287,384496621,48.65501936
56,167427775,181225426,55.96857859
71.67,42139185,38659958,74.72372165
74,123747875,118181034,53.54542393
41,205287887,164140163,53.55578732
72.33,42535050,38921557,73.5322745
78,412325353,405283271,50.3942408
72,42207481,38675633,52.67250665
3,37746,37291,39.7944187
82,469924557,445914585,55.85661329
79,430212210,413101142,58.86154048
77,216895848,196494754,65.71056198
75.33,215431384,194578650,67.70516197
36,65587113,67993978,53.63386839
96.67,343597384,263066747,85.84458681
78.33,215822107,194347270,75.46544471
77.67,47945503,43856134,81.14790672
50,118331266,112741266,53.16959847
52,218477804,163224479,44.31997082
78.33,220057448,199197190,57.39087394
76.72,219521597,198341658,87.71570465
1,5054,2279,22.91524318
46,255324728,251867990,56.79617692
2,0,0,53.74565997
85,477639673,449945332,62.52108875
73.67,197568496,179314885,54.80272947
77,218705713,198306573,66.96281631
81,460320358,430806423,64.19447215
81,453754084,424524307,53.83747861
72,194347270,177167401,70.95647825
83,451589543,435791112,40.69867567
73,194728772,176596333,68.61550562
64,207697613,205880449,52.72270249
72,42570807,39009059,77.06386414
3,46489,41459,36.6925125
4,5162,2333,22.91239833
80,440515653,420776118,57.68986729
51,141204866,161850097,58.57365148
28,29110068,27674371,58.60113479
2,310290,182486,55.82171667
2,5198,2423,22.98250364
72,193273528,176093659,65.77064279
49,187517295,143516897,44.90992229
28,34181991,30884025,51.68661705
28,19327353,15032386,54.36504231
1.69,23039,17846,53.55379568
47,122610236,133947396,52.67586401
75.41,216895848,196494754,55.40447151
32,165144580,172117913,51.00512226
75.67,213674623,194347270,60.16942997
74.67,42374439,38848675,55.31305321
82,397183610,379994172,58.24375009
36,220220136,192323254,44.4683096
4,37548,37129,36.06293628
81,438382492,423124736,45.1558497
91,431347909,394948963,48.57866553
3,43359,42159,39.84430524
4,39524,40524,36.05277609
72.33,198509222,178215454,68.68274633
48,408633510,384850270,58.95628426
41,123274625,97551963,58.825675
2,0,0,53.97311617
3,41510,39234,38.68213183
84.26,251645148,226046793,81.52665451
73.67,192745796,174875193,81.2087139
59,217920473,242842952,53.67913204
75,401505015,383117105,36.62941771
74,400931574,375632915,44.74253315
28,21959165,23805130,52.89959141
76.33,214748365,195421012,72.57699994
39,62199108,53025384,46.99875588
1,7253,5866,22.97066702
2,0,0,53.4923659
79,263164215,212338825,54.68529571
29,91811136,82282788,52.21403254
58,261420649,204239797,62.20175395
4,46624,41358,35.92800895
80,441858664,428207949,60.0192942
2,24119,18824,53.60868816
1.64,61883,10215,53.83738957
67,33114357,36254591,50.96133184
73.9,42464683,38887927,62.45084061
53,215266646,174354217,63.60279344
3,42696,39565,39.73315275
6,5326,2387,22.85479005
1,47774,57766,32.58271538
60,245634877,231941872,56.10594437
60,411114938,398296589,54.70470168
2,192290,153473,54.03444218
2,196443,156889,54.00082183
99,385473315,344671126,55.02115799
41,111756009,98818084,65.85038002
79,235707195,221379605,63.40705737
4,48153,44415,35.93903276
97,81316541,73690144,69.66167965
46,144443105,109343989,56.22583462
2.33,41704,33685,54.00383106
76,105042605,96527742,60.40213019
72.33,194347270,176093659,85.94710813
75.33,199715979,179314885,58.59581074
2,5087,3927,53.58295407
45,93608359,88068427,54.06425406
71.67,194500604,176344072,79.00170385
70,95511624,93996198,64.02525417
69.67,56243329,52681437,62.94539183
3,44246,42901,36.32562801
49,174753058,135795304,52.53732981
75.93,211527139,191126045,69.25719776
74,110049153,139222086,61.34697711
38,67548624,71045433,67.37324019
72.13,196494754,178241143,64.95348147
2,5190,2369,22.82527469
97.05,82754758,74730326,65.78932077
83,417498043,408331359,56.69802948
77.63,46435247,42409407,74.14169525
81,468217602,438457831,64.97888966
75.67,215857834,194590951,76.41210665
72.33,42383021,38714476,77.15403724
76.72,221190816,199715979,55.67322679
58,231440046,224210492,55.96283809
3,5244,2333,26.63488898
97.67,360287073,273486637,94.33538584
73,198642237,179314885,76.87231115
80,423595286,405217514,63.73624755
61,354517394,356227375,48.58354242
4,43376,45249,38.53054179
76,115499972,108353922,52.94597268
32,308807729,237437116,42.11297421
4,5036,2261,22.84341063
78,401786866,376489679,46.1468747
31,37655210,39148486,61.13782959
56,171362702,181682403,53.1067577
77,383987149,371817639,68.86927746
26,50967984,46649906,54.72867973
68,304044113,288099408,53.32286495
3,41618,38961,36.23769156
14,10523193,10487459,66.04550648
70,310683883,297172168,51.05617722
77.33,210083504,188032486,90.03115071
34,356640347,343779966,49.94963085
23,42196388,43498652,53.13606985
66,311747085,271180249,63.95042437
38,388272119,362570317,50.1385596
30,40334861,34905254,54.80914844
75.67,46979254,42660760,64.05942916
2,22554,17683,53.68703188
60,166205481,155900477,44.71423702
75.67,214142477,193850857,55.78674736
56,199314578,201046317,52.13803432
32,9180433,10188534,56.50996435
2.33,42618,34419,53.94416531
1.67,4679,3739,53.89964948
12,41256,37062,32.43620543
2,0,0,53.41661634
73.33,198642237,179314885,88.51377293
76,444498638,397800711,67.58441975
29,39129675,31876949,68.06768922
46,115879056,131274631,59.56167922
87,179345910,160983280,79.16648508
64,332039152,307487815,57.8290111
60,250649956,224247796,63.95596167
2,0,0,53.90193234
58,63279437,63855198,64.78726847
73.56,42447125,38867058,64.95067977
92.46,313386954,284018821,55.77709707
96.67,368773361,330667919,84.04890723
98.33,83552902,75637795,72.74053597
2,194147,155412,90.50868422
71.33,42238181,38733297,63.27381286
77,347059205,318486598,50.9111913
79,445596824,415830007,53.11955954
43,177268683,167966057,43.6156664
63,336142746,311260059,48.43815009
77.67,225485783,195421012,87.14353607
