CPUUtilization_Average,NetworkIn_Average,NetworkOut_Average,MemoryUtilization_Average,Final_Target
47,278768804,255901358,39.059004751467235,41.311372651722415
44,287311059,263266014,29.740700976183973,35.16686563050194
38,273738262,250326574,21.73742497944016,28.539602230528146
31,244476132,223467716,15.460385313066608,22.518866844093143
27,211081961,193457067,10.949675275901456,18.09586680409922
25,184370790,169886341,8.287101999807124,15.917302822766533
26,171275840,158561371,7.963692580577677,16.322202746441427
30,174503064,161628631,10.733614017846975,19.38611959344397
35,192500593,177761674,16.916215521946242,24.74710579059428
40,219350960,201914213,25.79209570150745,31.456299006330426
44,246480790,226587546,35.790918323843584,38.242538332586264
47,266644387,245342154,45.3500702271075,44.111734267110585
48,277651612,256342417,53.55670347052238,48.73307540358974
49,282824785,262945074,59.98082146920673,52.25331954597813
51,287730589,270561236,64.15489783258032,54.81913006820161
52,295870062,282207392,65.59775799703911,56.38503566892694
55,306900702,296485356,64.50037328384647,56.98744251465225
57,318382717,309453664,62.192593978044194,57.06971693381707
60,328226280,317775247,60.606897069084106,57.358694812229025
61,334513195,319402773,61.05638538076351,58.305234957395975
61,333345786,311749340,63.41865248666681,59.620345117129816
60,318892572,291184714,66.41469315147,60.406789649509406
57,287770989,256317498,68.6620499988472,59.859792429972245
52,244282475,212250463,69.6307566106019,57.99460499412228
47,200713300,170592697,69.8550141698226,55.78376711934202
44,171124123,143801226,70.35811475206879,54.53617725614891
43,163324306,138158835,71.8077528789611,55.010003117200085
45,175328838,151001203,74.09542816982336,57.01055337073628
48,198204635,173667112,76.59041237110918,59.72376447267056
52,221933028,196923318,78.59408181540442,62.272504167113446
54,239818564,214821602,79.37019150780426,63.873328819473564
55,249588178,225462966,77.83445565785478,63.64131083154533
54,251890364,229496803,72.67098491599778,60.639218421621905
51,247863261,227943370,63.30042054676184,54.46826807985245
45,237683083,220963690,51.00099734829025,45.932281613666795
38,221459507,208648089,38.91285229457965,37.02312337180854
32,201780970,193194596,30.502524790867444,30.041584572352612
28,185079125,180099222,27.58414605889421,26.48930128925035
26,179400204,176280354,29.516118308708876,26.54992665592191
27,189326210,185659824,34.06324348997588,29.344857766548376
31,211898678,205470711,38.897340775558476,33.48330732342253
36,237366010,226780472,42.470854097519364,37.473923492555556
40,254780477,239516152,44.03578614297123,40.04264940614796
41,258104335,238207420,43.43801885296379,40.51813752457379
41,248195812,224069740,41.13167185028512,39.130406101312715
39,230310835,202784887,38.22197368796403,36.926252313994134
38,210505264,180948428,36.15475703648764,35.26135059067685
37,193592888,163787593,36.04227462774919,35.12478181136229
39,182427480,154216040,38.06212788074001,36.64176626920905
40,177463132,152401878,41.41172232701235,39.033149073967046
41,176762874,155943245,44.860716306385584,41.089577044634005
40,177145037,161162300,47.441775002741736,41.881767315335956
37,176301635,165287927,48.78201420548043,41.25148215522446
34,174730441,168381635,48.9897143989903,39.80652662662667
32,175938251,173475570,48.37561518836399,38.49440959436426
32,184053114,184141316,47.29334356102079,38.059790014622955
35,200071494,200870193,46.14098747976959,38.69751844577411
38,219895535,219422075,45.34077064810658,40.041412754377994
41,236369712,233066489,45.15269769960748,41.419679095287705
43,243900106,237021427,45.49043919804806,42.22553581794459
42,241674881,231247267,46.04092846934272,42.25289883844106
41,232741747,219305600,46.588956708630356,41.7793691889549
39,219970123,204507279,47.04837605721482,41.206041813932686
37,202795958,186909002,47.0645837603929,40.45937647851083
35,178061462,164033779,45.780670169725795,38.78782683295366
31,144399841,134799035,42.30656120501417,35.33342883840572
26,105860723,102782741,36.53340670943923,30.00686465980631
20,70851290,75190268,29.423700780264962,23.77196002973075
15,47034019,58077792,22.48207565367974,18.052310997057905
12,36881262,52363020,16.981288680054075,13.894186659171767
10,37851981,54525515,13.61728262200632,11.66733222356888
11,46545824,61198646,12.640761384181143,11.381140728156456
13,62504134,72996533,14.037793371406188,13.048985206715033
17,88004079,93777784,17.508674749171266,16.648999478931437
23,124206708,126041502,22.432758947691923,21.82922879479347
30,167492218,166819527,28.06086827107625,27.816152087693034
37,209769002,208024260,33.82481830820417,33.71566500289159
42,243068779,241267164,39.466246579950855,38.965061553037444
46,264636069,263055863,44.92807226007733,43.57116914069203
50,277679839,275649565,50.20016474454819,47.95394805893482
55,286685478,282764410,55.21033477304328,52.47798310950378
60,291804085,284531141,59.689939257478,56.98070845463335
64,288432160,277234817,63.067724653077335,60.68611579018641
67,273087073,258584910,64.61232617962843,62.65333817042591
67,249874712,233239716,63.87107503465173,62.45017689791652
66,230666333,212540073,61.11687617870644,60.523020826469555
64,227990579,207839574,57.45337898417126,58.01201155938363
63,246510647,222891013,54.46947198762848,56.20568391481802
64,280175657,251643090,53.598841931437086,56.002120403600635
65,317008447,283004150,55.497767205943816,57.624396117624045
67,347024729,308224252,59.776401836323224,60.64923029968578
69,366791834,324864420,65.2305947350523,64.25978822568177
71,377988008,335064952,70.40972259968831,67.56031939707756
72,382702750,340887198,74.18846537977234,69.8192551216249
72,380068180,341131489,76.07398869219342,70.58240431822736
70,366640955,331859835,76.14561368143303,69.66274251368968
66,339734117,309768776,74.7378496383871,67.09702363469229
60,300900131,275701231,72.17106982553571,63.19295179288053
54,256763247,235610031,68.75386583178718,58.621222231187836
49,216469886,198225151,64.91719459929584,54.300094648277486
46,187778311,171263788,61.18401972521353,50.987640807720396
44,174694361,158933914,57.98887676643263,48.945148391237744
45,177657864,161839933,55.62940102022865,48.07688511880986
47,194723221,178039306,54.386562017674926,48.367318828132454
50,221877005,203531718,54.50610077448767,50.005482380954
55,252877421,232322872,55.918793474943804,52.9888918876726
61,280707541,257830300,58.041077116400956,56.721137590642776
66,301012669,276057927,59.975941427575236,60.14563937615636
70,314419258,287824164,60.91048269974958,62.27157725533517
71,324438836,296908885,60.28119542221418,62.52010856990961
70,332200443,305014473,57.69465946565748,60.67348571813527
66,333326898,308425946,52.98817495252036,56.74611397584631
60,320529475,300013573,46.573276369369914,51.0803493585753
54,289755900,274957657,39.68246527869992,44.53922580213524
46,244419794,235178534,34.08599804721915,38.455413800435245
40,194303666,188989676,31.3421101965854,34.21076334777195
36,150313506,146629187,32.09177862847927,32.65404790923714
35,119177128,115226348,35.84351899307534,33.708075042388074
35,101630307,96601234,41.271435752090426,36.415069663301495
36,94552424,88675050,46.767039555200554,39.42215748342092
36,94521236,88456466,51.04629765277339,41.67176257909085
36,99812257,93937914,53.70871871877261,42.9492646354981
36,110008498,104033420,55.498114279743646,43.97687925144605
38,124680507,117738435,57.91786421851997,45.9435060031354
42,142842993,133903905,62.23224077502441,49.70749525756327
47,163351989,151638362,68.49125773606272,55.17845516079466
53,185139318,170331084,75.3378188031262,61.280612877328295
59,206612114,188851181,80.78668188994459,66.48476979877917
62,224948759,204779469,83.43763569218079,69.55896835447578
64,236529769,214836141,83.28329186997922,70.13347845221249
63,238656840,216536012,81.54863673375837,68.787447755736
60,231283551,209822276,79.66225799443689,66.57463426835936
57,217310466,197362006,78.10595354329824,64.25545804707059
53,201275351,183354201,76.04886419429475,61.80906605189961
51,187671064,171947418,72.13654708253394,58.67940171828434
48,180164607,166453688,65.87913989906689,54.59042977216639
47,181633618,169381071,58.46530359980456,50.16112643466687
45,193799212,182217474,52.15907582208193,46.632711868401316
45,215770297,204237404,48.64650818139037,44.85212460568969
45,242579458,231147655,47.75576915284578,44.45855773725092
45,265865219,255486875,47.73652590934378,44.118422537261154
42,277602727,269751321,46.84835848827545,42.667717249939855
39,274653578,270447926,44.798989210237906,40.12381123505709
36,260151226,259558727,42.80434485557611,37.64330487907386
34,240397520,242115647,42.39082553085815,36.51998896210915
34,220733420,222816663,44.13246581873894,37.19966005191565
34,204576119,205287158,47.36867786404806,39.15681681719439
36,195211281,193516908,50.907811386464566,41.54189817779986
38,196370526,191948449,53.88940661336606,43.81804382019296
40,209860260,202884420,56.09611123724129,45.85111591743879
42,232836665,223817317,57.74324536565946,47.64903087393548
44,257901336,247635848,59.19509916875696,49.226519066142544
45,276206208,265741458,60.80803434374853,50.68365309143334
46,281339149,271826553,62.74694076473117,52.192781870556374
48,271861697,264238700,64.71310315503891,53.73256381423835
49,251861026,246404752,65.85125650036629,54.84543668805291
50,229910712,225867308,65.12787317991761,54.809185298711576
49,216516116,212099205,62.05570299514127,53.193875649587476
48,219673785,212608515,57.1944070109105,50.27777449441297
46,239758796,228235202,51.92186725766833,46.8579468276037
44,267630223,251218271,47.60613604877545,43.63958438273825
40,289231098,269226573,44.88574198130152,40.87139711370468
37,294538760,273446237,43.62529905199634,38.57891463301458
34,283786851,264117889,43.420434102021346,37.00956030646238
32,265684110,248699961,44.08042746682598,36.6860709942731
34,249694262,234819704,45.7107328222514,38.00893347441445
37,239461441,224709265,48.45370787958287,40.88868234470983
41,232132180,215277253,52.135702802073595,44.75244889522172
46,222296800,202148523,56.03551517349515,48.77936404354939
50,206495679,183610696,58.97286914486823,52.111340086752314
53,185951080,162422534,59.837458575408206,54.07155821620748
56,167025481,145473628,58.32987656715384,54.479413844507995
58,158786699,141167619,55.32324644753603,53.83754588570184
59,167707656,154672553,52.43416083408908,53.07254406498823
60,192312123,183387718,51.07314580129543,52.917830468176255
60,222070427,216282031,51.678059357773364,53.410367856070074
59,242144584,238502609,53.58775116393155,53.858899865477525
56,241117138,238745880,55.50633491566643,53.26641009069759
50,216968034,215075789,56.2407950731409,50.95081091142418
43,178124894,176074935,55.322622544839916,47.01256182265059
35,139296183,136821564,53.132198157908206,42.310935607173846
29,114434458,111851850,50.42697756623819,37.91112901856985
24,110733069,108986461,47.6869521727416,34.448557573902946
22,126796650,127247498,44.876604815174744,31.97141499523347
21,155027341,159019935,41.795944999862435,30.33685548758028
23,185531781,193856156,38.64319668030626,29.691785062807657
27,209164044,221602160,36.2940298064386,30.561470928818487
34,219710912,234867117,36.05756164387091,33.49444937644299
42,216218941,231753938,38.98550439838837,38.57107405023593
49,204746596,217954469,45.09981788280174,45.14067995112488
56,197074320,205580119,53.07323528896049,51.97845643145848
60,205280273,207609165,60.69025393244014,57.76704931532475
63,234937059,230792777,65.87186759813305,61.5970825717743
65,281875152,272064363,67.6543004651614,63.24421926429727
66,335070404,321092413,66.58566917168241,63.20535870877767
67,383103084,366539952,64.34894935322679,62.533608199427576
68,418746951,400731286,62.79179749714116,62.41613860753084
70,438539146,419605938,62.885108568692424,63.53819149536221
73,439513353,419917351,64.2377421985234,65.57798155697814
76,418220629,398429306,65.4315099957936,67.2500520549659
76,374318690,355235164,64.87557675473013,66.96946728440183
72,315126930,297873112,61.64974618178883,63.77150739418386
66,255302523,240829647,55.97715002424391,57.95234518224203
58,210216671,199115147,49.191571642424094,51.05188382003657
51,187996599,180543167,43.22075018659332,45.16831518270478
48,186530403,182674676,39.80345623998626,41.99407386495523
48,196926338,196032942,39.79932394094605,42.118605518464896
51,209484051,210101020,42.85011171760703,44.900042702262326
55,217423075,217556204,47.441851585219624,48.804868569886864
58,217086857,215060162,51.36326602870819,51.958858222978634
58,206810944,202142576,52.55648503785511,52.78094654121313
56,187004465,180540849,50.1108339676845,50.62306687735358
52,161701076,154785755,44.800431400123784,46.14482343852852
47,139371539,132602558,38.66431236910523,41.048049272641336
44,130445408,122915944,33.81476999876522,37.141410236854746
43,141494993,131072001,31.31024505552133,35.292277146941565
42,169650730,154140341,30.868955115718997,35.033664844072526
42,202119215,180615018,31.486046417389353,35.11663305764737
40,222663196,196285862,32.3185609042077,34.527127142629276
36,221445599,193039320,33.10528231253964,33.13830661763533
32,201328557,174270249,33.919500580716665,31.562357204803966
29,175894501,152701296,34.70492272878533,30.51082479030536
28,160726267,142273857,35.20372529671202,30.349090488256053
30,164356372,150078197,35.38008929313346,31.17691745091697
33,184536206,173262159,35.77747562686732,33.08464703837841
38,210699396,201418756,37.18599652093312,36.036430236314644
43,229829924,221921953,39.731875425556865,39.40549682439197
45,232637128,225668646,42.28987367953074,41.83017019959399
45,217857468,211335762,42.998995781752804,41.87923972696267
41,192806418,186126471,40.61413137273246,39.10852131886981
37,169186537,161743568,35.53432073582964,34.513630837116395
33,155909341,147282120,29.599397845991817,29.875233288117933
31,153550747,143719859,24.890066156735994,26.567558604117956
29,154721935,144226713,22.602756950537316,24.899941094496135
28,150304310,140123677,22.79963771711969,24.455505017916682
27,136630341,127685743,24.887410445470486,24.865202406933314
26,118018662,110544939,28.138174744283823,26.1380530580023
27,103407120,96637410,31.883540265531487,28.3422846306539
30,100741027,93141980,35.56337944624408,31.21370700339617
33,113512230,103390381,38.83974903188736,34.227263151404436
36,140648364,126724380,41.648587680418906,36.99526843052658
39,177973707,159642486,44.029070520382426,39.48970307638792
42,219374079,196676077,45.9034729888191,41.89161573780912
46,257464983,231013373,47.102110720063386,44.306267192920856
50,284607219,255649930,47.6137061952754,46.621101240854166
54,294779502,265261168,47.7361179161825,48.54735846399429
56,285918923,258170275,47.92317477481192,49.7637392803579
57,261614857,237500683,48.50987343694271,50.13699460626602
55,230643420,210588117,49.63479324838087,49.9674332597286
53,203368652,186051798,51.35925073173591,50.012377225329985
53,186343723,169465710,53.66706403152444,51.0441615003372
55,179055149,160663183,56.242384097838475,53.164958824218346
58,175983464,155350606,58.375626680692555,55.53852814922856
60,172351841,149865377,59.29780561050267,56.91400342799253
60,168198954,144611347,58.70807948536934,56.530777157226396
58,167468336,143239941,57.0032981577118,54.63783171108949
55,174207703,149302838,55.041661025442004,52.280049221682575
52,190227918,164250551,53.679051577653,50.6257470525308
52,215626177,188131536,53.38961170197761,50.34889842480335
54,249751092,220729489,54.125798111323036,51.399965206918324
56,290166019,260587191,55.40581403799587,53.16053919464139
58,330545797,302540226,56.51247752511093,54.74762473642322
59,360787907,337069714,56.68914376189367,55.271499258353316
58,370936503,353635069,55.3154146966583,54.048270787188784
54,356634144,346258237,52.10208931693232,50.83504505574803
49,322048777,317239516,47.275423342477445,46.02269910598817
43,278330593,276462618,41.64237792301142,40.63775948508182
39,239032981,237221696,36.461333294218534,36.1094153267975
38,215160236,211167211,33.11184896494704,33.864863757286976
40,211591260,204302621,32.59535652582157,34.8166364041713
46,225972225,215328669,35.02351258923782,38.88853001395094
55,250985511,237467685,39.45758100756275,44.92142938997919
63,279133685,263118832,44.41094595231244,51.22865570344045
70,306468906,287802585,48.8162891541986,56.5510890287562
75,332049168,309995403,52.709089117031375,60.68744690050141
78,354322346,327865351,56.95557700557358,64.2541858947508
80,369158536,337540699,62.152294860663474,67.77853738477339
81,372304439,335602095,67.65041629520906,70.93615066679233
81,363920258,323347074,71.66545296580576,72.63567759476992
78,350615072,308274848,72.50080160685653,71.91943233557527
75,342958707,301070198,69.87254581245958,68.92610218883114
71,350146616,310168367,65.18732315924765,65.06298742280264
70,374776737,337027692,60.54065603493009,62.15299673867206
71,410083473,374169339,57.284404759666835,61.15903717902244
74,441334619,407085895,55.27870367147581,61.46014459968756
75,451921969,420096859,53.2767436314858,61.24271928744238
73,431731080,403876568,49.99684211746705,58.712369416302835
66,382596598,360132776,45.04678691815944,53.241878639582055
57,316883926,300103098,39.135156025402296,45.704525398367394
46,250559848,238282861,33.583070720304804,37.91174436846317
37,196339925,186451194,29.58322768437188,31.679635969671118
31,161224371,151659728,27.680480447972275,28.1360837479491
30,147871703,137341445,27.645031744957173,27.50415895048284
32,156323032,144326412,28.62529702621059,29.20603031579603
38,183909769,170220024,29.460789258153135,32.08510422199549
43,224213728,208433914,29.159340642814946,34.74715738590983
48,267320321,248934058,27.473565980701924,36.08645000993959
50,302505261,281293916,25.245902777740127,35.830765124502285
48,322382705,298754025,24.111218385172027,34.71270740309424
46,326142394,301085265,25.531815738737624,34.03099083954892
43,319610785,294350889,29.73886721714817,34.82689590941489
42,311458499,287043736,35.36852819899209,37.205697117282845
44,307406331,284373769,40.12632895746261,40.21776257208437
46,306361576,284551381,42.06164133054275,42.35620112891979
48,301830495,280416925,40.615124476667056,42.39513024987056
47,287835616,265646322,36.80182398179911,40.0913758658191
43,264092672,240184307,32.49483441225745,36.297333233022044
38,235630287,209893612,29.324346036880197,32.384296591300796
33,207903056,181319815,27.862797946201493,29.379399209341095
30,183201390,157476372,27.51598444911516,27.441948767858353
27,161945596,138649825,27.12344724113515,26.029455484179536
25,146167663,125936782,25.906571923994445,24.581646773448814
24,140040125,122338488,24.180669213323185,23.1873672517985
24,146262980,129762134,23.301022693388937,22.708881911050298
26,162180058,145399899,24.79649515234105,24.228011286480044
30,179935844,161785178,29.326939752554203,28.232852721606672
35,190949002,171009051,36.29955975880009,34.21348993637497
41,191003397,169543641,44.35535611051957,40.965479094797466
47,181974027,159751817,52.13367984873979,47.25665911048538
51,169385830,147340124,58.65019861356526,52.28862577464042
54,158459878,137436578,63.25065479602799,55.74828680545126
55,151956448,132550410,65.5599047987549,57.67509733095942
57,150787872,133296204,65.64591154400462,58.3967649314339
59,155746716,140158763,64.18635048762681,58.52932537469009
61,168279344,154214590,62.351996902246626,58.88625860229664
65,189715421,176298962,61.39474541724333,60.21999094301858
70,219770355,205577574,62.14074637023493,62.86846029563728
75,255577336,238827085,64.58766890147793,66.47591067488275
79,292226647,271249548,67.76904610755825,69.9859131360395
81,324734692,298527114,70.02346661921533,72.0037040700389
80,349905203,318516228,69.63209607163058,71.37303035347094
76,366477727,331079134,65.54696656525604,67.6431385324185
70,373997740,336622304,57.914846390867815,61.24097627539413
64,372393812,335435898,48.241309242824606,53.39571181080206
57,362903260,328547746,39.04855093004311,45.84482466468325
51,348747025,318476271,32.93450154814742,40.26204463016339
47,334234445,308487858,31.381149624175983,37.56918712682081
44,323028084,301089459,34.0888046381044,37.590592451102935
43,316802296,297052776,39.30764621537299,39.320479052989675
42,314388025,294978394,44.815249487790034,41.528107030267826
41,311411300,291119570,48.81462957294171,43.220007628406854
41,301505471,280313481,50.39110453314717,43.793695457487395
40,279667396,258684519,49.614125885743015,43.041228585419184
39,245955496,226704707,47.42916788447678,41.16294897601853
36,206720522,190193550,45.365367671389606,38.80994964013683
32,172412233,158428230,45.063415144253426,37.06439595886746
30,153257648,140468530,47.68655693108047,37.191894971397126
30,154736025,141246513,53.384127440826404,40.09086078380631
34,174792850,159009757,61.12577880035098,45.720781851052166
42,204743846,185942694,69.1768909582612,53.03683925108924
51,234199468,212512909,76.02140416334375,60.59822107252937
60,257097723,233057946,81.02757161149874,67.32308314511735
68,274477209,248537183,84.31153910143057,72.72336053147059
75,292123112,264518500,86.09275040076133,76.61301269049184
79,315208689,286235018,86.36501092660943,78.86877343484848
82,343821800,314347602,85.17784748621845,79.54646695773664
83,372148445,344032571,82.90407355570657,78.98525904130284
83,391668828,367672955,79.88105096848837,77.50740405431067
81,396287436,379218469,75.81705433963387,74.9956409746461
79,385974184,377298291,69.91011799616217,70.97875317496963
75,366505162,365238275,61.83403291326167,65.29930654744561
70,345801833,348493158,52.60912636697746,58.69031595713099
66,329564023,331519139,44.376990317232966,52.614747242413394
62,318678531,315811776,39.17952724567381,48.45038205792828
60,309363122,299794568,37.71940358457719,46.678147285675415
59,295769604,280452403,39.002755511348674,46.6626078311786
58,273748811,255788093,41.06700504216086,47.12973804352884
56,243513251,226420192,42.26965908676446,46.97166726413084
54,209329596,195128721,42.21805451064089,45.79551984831105
50,176698094,165031475,41.64069892435286,43.83628654546337
45,149537456,138291449,41.373602313636574,41.41933302670177
39,129413236,116326700,41.482760159005075,38.605868013888504
33,116678760,100759512,41.407086292732814,35.43638129745669
27,111932298,93808701,40.88794004605087,32.45116379641479
24,116257741,97495751,40.566425191954856,30.753837014836854
24,129816409,111932429,41.48574108286606,31.32017097864221
27,149971586,133836482,43.92418507773224,34.0851003140294
32,171169178,156935949,46.74661516116229,37.6889089064389
36,187792689,175042801,48.06226904973724,40.27885357108998
39,198385266,186240355,46.774381799188646,40.85548344389033
40,207553883,194802316,43.6830620898399,40.08644459865597
42,223102192,208509976,41.10479255292075,39.853258734086644
46,250148074,232933357,41.329323751258244,41.87914474172145
52,287333721,267503002,45.26342306509094,46.606691113268404
59,328662274,306847046,52.21282729784121,53.16682420765027
66,368850327,345608775,60.53451390333853,60.17087756746154
71,406443073,381522830,68.31826750284523,66.4105672060722
75,441623821,413902352,73.71227574715347,70.94518766802884
78,471620580,439959518,75.11711013272385,72.84934885651816
78,489158134,453543402,71.54465591410586,71.20622985534096
74,486104653,448076144,63.10694645699324,65.56861213786692
67,459266348,421245782,51.2747067615033,56.52381386219138
57,413444753,377562416,38.52591465827464,45.77465433343474
47,359595458,326962080,27.4104015466712,35.52518440118201
38,309972035,280760772,19.59320192756809,27.578252245767054
32,273659741,247593629,15.512349702686999,22.774671402184833
29,254265428,230949014,14.730440041315966,21.02412826567145
29,249381925,228346866,16.462715919508145,21.654557394843973
30,251267415,231988518,19.783571153272433,23.695810357981866
31,249320157,231403244,23.567712787181637,26.0308545258138
31,234727078,218167620,26.605643897416847,27.61770209941778
30,205439089,190703996,28.079221282263617,27.86291396513986
28,168073656,155898954,28.03524335894278,26.915623473473932
26,134920289,125952524,27.354911612976785,25.588213798233852
25,117644902,112146427,27.151478858119944,24.88375145821351
25,121340463,119079169,28.032324168751103,25.411854901694134
27,142001641,142295071,29.74601201931605,27.04165736039367
29,168481449,170312375,31.40941878699613,28.98799223077036
31,187959648,190116755,32.100516931852546,30.2854414613138
32,192458724,193678054,31.39495648755026,30.375505278224704
32,183093590,182175970,29.52197545162174,29.42961254185972
32,169134862,165069097,27.121102128070145,28.175698322087065
32,161594231,153775531,24.853392877785588,27.349801306756564
34,165270072,153802254,23.155885461480494,27.192097422157858
35,175419370,161256077,22.24893075861287,27.38098925783006
35,182090401,166714493,22.312797057846918,27.456637661267614
34,178610087,163271040,23.67526801202751,27.40803833929739
31,167130797,152102859,26.861769558623145,27.973315968982302
31,157095169,141502821,32.40339579923327,30.39349538895977
34,158726489,141050084,40.41594198935909,35.710220935127325
42,177170249,155985909,50.16128643963292,43.99495005362915
53,211109862,185513521,59.93504663964038,53.982044767498024
65,255083064,224729175,67.51564735437294,63.38615993176559
75,302053818,267239173,71.0643527872161,69.79851236791245
80,344376369,306449999,70.00053114764353,71.70838929789424
80,374546564,336243531,65.28643815565765,69.11894875258152
74,387563372,352529251,58.90389449151918,63.469283457497866
66,383808966,355167995,52.88342710315573,56.95880795348057
60,369410807,348200779,48.52875933166033,51.63840634018099
56,353066897,337684473,46.18788210578172,48.66740923540038
55,341689388,328799227,45.440135625353335,48.0116932202443
56,337764695,324053253,45.4419839708993,48.68085169683567
58,339179212,322787454,45.340492876323864,49.377962500998365
58,340728442,321552643,44.66740591518319,49.19839478293534
57,336695288,315631188,43.474483536408414,47.970865715616284
54,323899998,301791869,42.106380864843146,46.13144157753679
52,303770363,280831120,40.90403563597121,44.39516693266022
51,281947539,257869766,40.18083544518212,43.50446034908257
52,265605120,240040560,40.35471244097776,44.03141887778427
55,260362653,233322613,41.8279086338923,46.103523077161206
59,268667367,240619275,44.56814589567054,49.19404599667365
62,290047399,261734094,47.86088022615159,52.29729298170512
64,322039510,294174112,50.610831277131254,54.48591580518951
64,360118846,333150576,51.963964294064375,55.37498973358977
64,396436337,370541653,51.69745837847395,55.073898711289885
62,419648734,394932483,50.15817400496941,53.797600208035874
60,418496726,395187353,48.00975380246656,51.6828489085792
57,388388667,366785919,46.078790576067604,49.02967302781185
52,336201088,316351032,45.26911982383715,46.598370002440845
49,278668395,260025014,46.329140745748354,45.46262204549174
48,234538739,215965291,49.40447842155681,46.360915200582255
49,215422191,195674236,53.61927434184777,49.007137371205395
52,220772478,199225341,57.14123622909773,51.95220487224675
54,239297953,216428900,58.018333565988264,53.249033090094564
53,255513858,232745894,55.4384164384162,51.58840288549592
48,257921365,236848221,50.44303384528257,47.138673779452816
41,244500943,225958059,45.3152163319228,41.42766378984457
34,222251483,205848722,41.9432494302593,36.28788606864605
28,200983225,185447495,40.44658433900836,32.63979082026865
23,185939163,170084635,39.20684542547868,30.046813152514353
21,175171698,158854655,36.28628268099624,27.37096074181183
19,163569802,147942065,31.108808068047182,23.98100382613622
17,149185561,136054050,25.115460672139072,20.515846927808926
18,135564057,126349759,20.90844820876193,18.54411452581953
20,128417445,123465111,20.518829437679592,19.362253090428922
24,130828085,129410918,24.072109437427944,22.923226393844256
28,141632636,142395553,29.79812610216336,27.789804897915513
32,157180104,158590927,35.251924032338664,32.089433740703626
34,173394528,174056421,38.67743440301585,34.58585134578625
34,186257304,185195696,39.51026462185347,35.02556400477556
32,191660471,188620361,37.98383153168941,33.74098017168857
30,186416368,181974639,34.61579829652574,31.16458656316767
28,170695837,165963593,30.152602714566978,27.770444910049328
25,149975540,145935500,25.727512086729828,24.297865374133593
23,133689621,130555060,22.653559616363754,21.732432131106478
21,129920694,126987076,21.790498231386767,20.82735886319113
22,139673067,135812733,23.031448036816915,21.554962408592566
23,156005069,150433235,25.39512831495143,23.07405494895022
23,169496972,162176919,27.651166873557262,24.348017583280736
23,175561089,166923360,29.02009682415843,24.935520630194087
23,177367910,167652025,29.5660185571711,25.335756069071657
